,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20
Belgium,"7,749","7,293","7,511","6,833","6,635","6,491","7,822","6,779","7,034","6,480","6,425","6,322","7,492","7,131","7,455","6,428","6,497","6,356","7,598","6,689","6,994","6,391","6,415","6,132","7,497","6,974","6,766","5,717","5,970","6,032"
Bulgaria,"3,633","2,872","2,896","2,373","2,384","2,381","3,515","2,847","2,618","2,400","2,232","2,201","3,103","2,802","2,785","2,037","2,154","2,211","3,327","2,806","2,649","2,476","2,350","2,320","3,241","2,866","2,757","2,349","2,167","2,159"
Czechia,"6,269","5,606","5,815","5,228","5,114","4,811","6,359","5,424","5,517","5,011","4,884","4,634","5,922","5,649","6,013","4,822","4,823","4,682","6,230","5,445","5,588","4,988","5,081","4,674","6,047","5,500","5,494","4,385","4,464","4,409"
Denmark,"3,325","2,990","2,976","2,713","2,608","2,602","3,149","2,823","2,927","2,606","2,600","2,491","3,167","2,912","3,159","2,594","2,568","2,522","3,188","2,766","2,939","2,593","2,668","2,474","3,187","3,071","2,990","2,594","2,616","2,275"
Germany,"42,339","40,585","40,799","37,701","36,866","38,267","45,095","40,038","42,870","39,162","40,414","38,453","43,872","40,247","43,740","39,024","39,403","39,134","43,147","39,282","42,102","38,345","39,474","37,125","41,378","40,095","40,080","33,692","33,940","34,648"
Estonia,906,746,770,672,622,565,844,754,779,699,652,583,856,828,861,698,653,695,895,765,803,692,680,584,816,787,804,677,651,583
Ireland,"2,503","2,389","2,438","2,287","2,194","2,077","2,586","2,359","2,510","2,258","2,239","2,138","2,612","2,392","2,611","2,371","2,299","2,169","2,738","2,357","2,479","2,409","2,348","2,199","2,722","2,567","2,445","2,163","2,158","2,184"
Greece,"5,063","4,300","4,525","4,005","4,170","4,966","5,551","4,482","4,492","3,989","4,213","4,653","5,055","4,435","4,453","3,918","4,253","4,696","5,456","4,619","4,482","4,180","4,202","4,873","5,294","4,597","4,399","3,730","3,765","4,069"
Spain,"22,713","21,958","22,693","21,045","20,914","21,487","21,976","18,987","20,159","18,066","19,571","20,852","21,587","20,329","21,108","19,123","19,307","19,561","22,191","19,218","19,808","18,692","19,131","19,599","21,548","18,970","18,880","15,387","16,504","17,430"
France,"50,101","46,402","47,294","38,817","34,383","32,627","52,369","40,524","39,661","33,735","32,295","30,799","45,390","46,414","45,216","33,800","31,700","30,448","49,913","41,264","40,465","35,335","33,301","30,494","46,123","40,450","38,829","28,695","28,636","28,992"
Croatia,"1,585","1,426","1,524","1,325","1,351","1,362","1,565","1,287","1,307","1,212","1,245","1,294","1,428","1,403","1,516","1,235","1,315","1,305","1,526","1,312","1,344","1,239","1,290","1,362","1,480","1,315","1,370","1,111","1,097","1,151"
Italy,"26,559","25,702","26,228","23,766","24,826","25,314","28,280","25,256","26,585","23,730","25,636","27,941","27,240","26,106","27,781","24,108","25,963","27,032","28,599","25,599","26,427","24,045","25,280","27,647","27,463","25,782","23,733","19,910","22,673","23,953"
Cyprus,382,320,311,296,330,422,426,359,339,302,342,397,395,331,326,315,391,429,443,363,353,314,362,439,425,392,334,256,322,351
Latvia,735,626,643,579,556,528,697,627,646,581,567,528,697,647,680,581,571,547,707,617,651,580,582,552,661,620,629,558,552,532
Lithuania,"1,085",949,969,892,875,849,981,905,926,852,896,852,"1,007",928,994,855,910,862,"1,048",952,956,892,916,906,975,939,913,812,841,857
Luxembourg,570,547,568,532,492,520,589,519,561,510,514,517,580,549,588,520,525,522,586,531,573,529,534,509,570,545,480,436,476,479
Hungary,"3,775","3,469","3,544","3,344","3,396","3,415","3,680","3,237","3,286","3,145","3,257","3,292","3,571","3,378","3,594","3,185","3,309","3,342","3,769","3,345","3,473","3,257","3,407","3,422","3,869","3,509","3,583","3,010","3,063","3,136"
Malta,177,157,163,154,166,185,211,176,185,171,177,203,201,189,191,182,194,210,224,199,199,186,189,231,218,194,195,167,173,190
Netherlands,"10,559","9,607","10,176","9,289","9,066","8,866","10,094","9,066","9,508","8,297","8,685","8,547","10,485","9,959","10,272","9,993","10,026","9,288","10,627","9,193","9,946","8,712","9,249","8,506","10,362","9,620","9,420","8,064","8,363","8,289"
Austria,"6,397","5,888","6,067","5,361","5,324","5,317","6,487","5,574","5,701","5,137","5,091","5,002","6,113","5,784","6,143","5,088","5,128","5,105","6,392","5,574","5,766","5,246","5,356","5,028","6,199","5,650","5,542","4,556","4,754","4,717"
Poland,"13,574","12,557","13,058","12,101","11,857","11,995","12,724","12,152","12,271","11,547","11,860","11,654","12,739","12,353","12,848","11,499","11,433","11,587","13,397","12,025","12,154","11,436","11,603","11,287","12,499","12,045","11,426","10,029","9,866","10,122"
Portugal,"4,558","4,366","4,483","4,110","3,995","3,990","4,514","3,862","4,075","3,595","3,831","3,900","4,493","4,056","4,421","3,920","3,827","3,805","4,577","3,893","3,996","3,815","3,923","3,731","4,598","3,924","3,968","3,378","3,383","3,440"
Romania,"5,004","4,641","5,012","4,881","4,373","4,241","5,217","4,662","4,729","4,299","4,310","4,205","5,103","4,811","5,232","4,240","4,382","4,391","5,295","4,694","4,776","4,431","4,427","4,367","5,102","4,703","4,517","3,742","3,801","4,013"
Slovenia,"1,261","1,155","1,198","1,092","1,125","1,111","1,225","1,081","1,156","1,056","1,113","1,123","1,193","1,130","1,241","1,089","1,133","1,120","1,235","1,089","1,174","1,096","1,117","1,097","1,221","1,122","1,132",941,964,986
Slovakia,"2,474","2,244","2,269","2,075","2,091","2,024","2,701","2,334","2,352","2,187","2,157","2,250","2,470","2,329","2,461","2,081","2,156","2,108","2,597","2,297","2,426","2,212","2,230","2,124","2,605","2,305","2,273","1,898","1,939","1,947"
Finland,"9,303","7,703","7,786","6,860","6,195","5,745","8,240","7,411","7,589","6,912","6,319","5,649","8,417","8,044","8,460","6,881","6,187","5,750","8,918","7,520","7,972","6,745","6,378","5,616","7,657","7,016","7,610","6,570","6,025","5,317"
Sweden,"15,619","13,379","13,087","11,399","10,044","9,145","13,350","12,026","12,178","10,751","9,790","8,726","13,520","13,171","13,779","10,539","9,234","8,575","13,867","11,788","12,212","10,279","9,688","8,461","12,292","12,062","11,902","10,500","10,169","8,699"
